crewId,taskId,isDDH
Crew_11651,ddh_101566,1
Crew_11651,ddh_100072,1
Crew_11651,Flt_101272,0
Crew_11651,Flt_100325,0
Crew_11651,Flt_100028,0
Crew_11651,Flt_101552,0
Crew_11651,ddh_100163,1
Crew_11651,Flt_101434,0
Crew_11651,Flt_101059,0
Crew_11651,Flt_106481,0
Crew_11651,Flt_105749,0
Crew_11651,Flt_104730,0
Crew_11651,Flt_104731,0
Crew_11651,Flt_107945,0
Crew_11651,Flt_105025,0
Crew_11651,Flt_111936,0
Crew_11651,Flt_104339,0
Crew_10280,Flt_101104,0
Crew_10280,Flt_102188,0
Crew_10280,Flt_100814,0
Crew_10280,Flt_100475,0
Crew_10280,Flt_100261,0
Crew_10280,Flt_101442,0
Crew_10280,Flt_100710,0
Crew_10280,Flt_100488,0
Crew_10280,Flt_100225,0
Crew_10280,Flt_102193,0
Crew_10424,Flt_101175,0
Crew_10424,Flt_100579,0
Crew_10424,Flt_101777,0
Crew_10424,Flt_101946,0
Crew_10424,Flt_101736,0
Crew_10424,Flt_100845,0
Crew_10424,Flt_101374,0
Crew_10424,Flt_101664,0
Crew_10424,Flt_100715,0
Crew_10424,Flt_100553,0
Crew_10424,Flt_101583,0
Crew_10424,Flt_100587,0
Crew_10424,Flt_101261,0
Crew_10424,Flt_101616,0
Crew_10424,Flt_101348,0
Crew_10424,Flt_101262,1
Crew_12133,Flt_100509,1
Crew_12133,Flt_100941,0
Crew_12133,Flt_101465,0
Crew_12133,Flt_100299,0
Crew_12133,Flt_100181,1
Crew_12133,Flt_100259,0
Crew_12133,Flt_101568,0
Crew_12133,Flt_102159,0
Crew_12133,Flt_100068,0
Crew_12133,Flt_101171,0
Crew_12133,Flt_100409,0
Crew_12133,Flt_101720,0
Crew_10296,ddh_102238,1
Crew_10296,Flt_101983,0
Crew_10296,Flt_101178,0
Crew_10296,Flt_100770,0
Crew_10296,Flt_101441,0
Crew_10296,Flt_100141,0
Crew_10296,Flt_101884,0
Crew_11667,Flt_100975,0
Crew_11667,Flt_100599,0
Crew_11667,Flt_102221,0
Crew_11667,Flt_101208,0
